Unnamed: 0,County,2021,2022
1,Adams County,"57,405","58,406"
2,Asotin County,"56,438","59,675"
3,Benton County,"77,339","78,824"
4,Chelan County,"64,700","68,016"
5,Clallam County,"62,623","65,652"
6,Clark County,"83,790","87,397"
7,Columbia County,"59,650","61,115"
8,Cowlitz County,"70,104","76,364"
9,Douglas County,"64,932","65,096"
10,Ferry County,"50,565","53,577"
11,Franklin County,"79,532","85,877"
12,Garfield County,"61,268","66,083"
13,Grant County,"61,815","65,593"
14,Grays Harbor County,"55,018","56,020"
15,Island County,"76,729","76,494"
16,Jefferson County,"61,548","63,641"
17,King County,"110,351","118,664"
18,Kitsap County,"86,826","91,737"
19,Kittitas County,"62,721","60,777"
20,Klickitat County,"61,542","65,896"
21,Lewis County,"63,828","67,910"
22,Lincoln County,"64,692","68,236"
23,Mason County,"73,696","77,936"
24,Okanogan County,"55,233","57,422"
25,Pacific County,"58,715","60,936"
26,Pend Oreille County,"55,060","52,989"
27,Pierce County,"85,492","91,092"
28,San Juan County,"71,678","68,932"
29,Skagit County,"72,831","67,316"
30,Skamania County,"75,158","82,462"
31,Snohomish County,"99,650","106,104"
32,Spokane County,"65,571","70,685"
33,Stevens County,"60,180","63,241"
34,Thurston County,"81,544","83,358"
35,Wahkiakum County,"64,777","67,570"
36,Walla Walla County,"63,631","66,071"
37,Whatcom County,"71,739","73,038"
38,Whitman County,"53,140","54,236"
39,Yakima County,"60,058","64,007"
